id,category_name,slug,parent_id,category_type,image,banner_image,banner_text,meta_title,meta_description,meta_image,show_on_menu,show_on_homepage,status,created_at,updated_at
2,Organza silk,,,category,https://drive.google.com/file/d/1Vo-mXBVjurXo-nCSOb7337DfSCixk9S4/view?usp=drive_link,images/webp/73531725257086.webp,NULL,NULL,NULL,NULL,NULL,1,1,09-02-2024 06:04,09-02-2024 06:04
4,Tissue silk ,,,category,https://drive.google.com/file/d/1AjtQr4C9-tnXUErRZ4z8u6KdOC1ru46c/view?usp=drive_link,images/webp/63831725258080.webp,NULL,NULL,NULL,NULL,NULL,1,1,09-02-2024 06:21,09-02-2024 06:21
5,Tussar Silk ,,,category,https://drive.google.com/file/d/1LnXGXn-K13TsMi7lGd4b_kfrQFaN00AO/view?usp=drive_link,images/webp/33181725258215.webp,NULL,NULL,NULL,NULL,NULL,1,1,09-02-2024 06:23,09-02-2024 06:23
7,Chanderi ,,,category,https://drive.google.com/file/d/1fijTQ8V4mej06n2geFHVbZlf0xwlY_qs/view?usp=drive_link,,,,,,,,,,
8,Kanjivaram silk,,,category,https://drive.google.com/file/d/1MwCQbFnEuF9_s_nakhJYMTP1yvKYm7mB/view?usp=drive_link,,,,,,,,,,
9,Pure Cotton,,,category,https://drive.google.com/file/d/1Oh_8bhOeLldmE0GinFF_-mWhCfWane-m/view?usp=drive_link,,,,,,,,,,
10,Mashru silk,,,category,https://drive.google.com/file/d/13g6Vf0iYU-CDGs_BcCDNp95Yg5_KB6VG/view?usp=drive_link,,,,,,,,,,
11,Handloom Katan Silk,,,category,https://drive.google.com/file/d/1BM9AzF7-V0wsGMlYfAfBwCFx_ToQFQpS/view?usp=drive_link,,,,,,,,,,
12,Khaddi Georgette Bandhej ,,,category,https://drive.google.com/file/d/1tJYBoxti8AVPxfaf1c4l9nbcm5joVKnC/view?usp=drive_link,,,,,,,,,,
13,Designer Couture ,,,category,https://drive.google.com/file/d/1mNKD2soAoO_4syNFQum0PUHajTnNxixr/view?usp=drive_link,,,,,,,,,,
14,Ektara Banaras (Premium Banarasi),,,category,https://drive.google.com/file/d/1UrLoab1ksihxtmVMEuY8HNQ3jPjiR1QB/view?usp=drive_link,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,.,,,,,,,,,,,,
